Title,Title_URL,Artist Name,Artist Link,Duration,Genre,Mood,Movement,Theme,Other keywords,Other keywords.1
Relaxing,https://pixabay.com/music/moderni-klasika-relaxing-145038/,Music_For_Videos,https://pixabay.com/users/music_for_videos-26992513/,1:12,Modern Classical Ambient Solo Piano Main Title Beautiful Plays,Dreamy Bright Relaxing Peaceful,Floating Elegant Medium,Film Music Cinematic Music Background Music Music For Videos,"age
ambient
astral",age ambient astral atmosphere atmospheric background beautiful deep dream dreamy meditate meditation meditative nature new peaceful piano relax relaxation relaxing slow soft soundscape spa space
Eco Technology,https://pixabay.com/music/beautiful-plays-eco-technology-145636/,Lexin_Music,https://pixabay.com/users/lexin_music-28841948/,2:02,Beautiful Plays Corporate Build Up Scenes Main Title Electronic Modern Classical,Hopeful Suspense Restless Bright Dreamy Uplifting Epic,Chasing Elegant Floating Smooth Medium Marching,Music For Videos Music For Youtube Videos Background Music Film Music Cinematic Music,"cinematic
inspiration",cinematic inspiration world commercial design engineering marketing creation biology experiments factory digital future futuristic high-tech innovation inspirational inspiring travel corporate science study medicine creative serious
Cinematic Time Lapse,https://pixabay.com/music/main-title-cinematic-time-lapse-115672/,Lexin_Music,https://pixabay.com/users/lexin_music-28841948/,2:01,Main Title Beautiful Plays Build Up Scenes Modern Classical Adventure,Restless Bright Hopeful Suspense Energetic Uplifting Epic Dreamy,Chasing Running Medium Elegant Busy & Frantic,Music For Videos Film Music Cinematic Music Music For Youtube Videos,"hyperlapse
architecture",hyperlapse architecture attraction authentic cinematic crescendo documentary emotional classical inspiration discovery dramatic grand european architecture europe inspirational people sound track inspiring classic landscape lyrics nationality sights time-lapse background
Rise Above,https://pixabay.com/music/main-title-rise-above-178316/,Top-Flow,https://pixabay.com/users/top-flow-28521292/,1:22,Main Title Epic Classical Adventure Build Up Scenes Electronic,Restless Energetic Suspense Epic Bright Hopeful Uplifting,Chasing Running Heavy & Ponderous Medium,Music For Videos Film Music Cinematic Music,"hip hop
sport",hip hop sport motivational inspiring electronic energy powerful intense upbeat driving energetic urban dynamic aggressive edgy groovy fierce hard-hitting determined competitive fast-paced adrenaline triumph success victory
Unlimited Motivation,https://pixabay.com/music/rock-unlimited-motivation-158250/,Top-Flow,https://pixabay.com/users/top-flow-28521292/,1:28,Rock Epic Classical Adventure Build Up Scenes Main Title,Epic Restless Hopeful Uplifting Bright Energetic Suspense,Chasing Running Heavy & Ponderous Medium,Music For Videos Background Music Film Music Cinematic Music,"sport
gym
fitness",sport gym fitness health workout crossfit training fit body bodybuilding muscle sport food sports nutrition nutrition motivation inspiration inspiring polyp skateboarding motorcycle running exercise run race action
Power Play,https://pixabay.com/music/main-title-power-play-168168/,Top-Flow,https://pixabay.com/users/top-flow-28521292/,1:46,Main Title Adventure Build Up Scenes Epic Classical,Epic Restless Energetic Hopeful Uplifting Bright Suspense,Chasing Running Medium Heavy & Ponderous,Music For Videos Film Music Cinematic Music,"hip hop
sports",hip hop sports motivation epic inspiring track race running achievements training competition exercise jogging joyful celebration victory performance sprinting hurdles relay obstacle inspire joy hope success
Piano Moment,https://pixabay.com/music/solo-piano-piano-moment-9835/,Good_B_Music,https://pixabay.com/users/good_b_music-22836301/,4:33,Solo Piano Modern Classical Beautiful Plays Small Emotions Nostalgia Solo Instruments,Peaceful Hopeful Bright Sentimental Romantic Dreamy Relaxing Suspense,Elegant Floating Smooth Slow,Music For Videos Music For Youtube Videos Film Music Cinematic Music,"ambient
background",ambient background beautiful calm cinematic deep dramatic dreamy emotional feelings film lonely love meditation movie nostalgic peaceful piano background relaxing relfective romantic sad sentimental smooth tvshow
Winter Legacy. The Four Seasons. Hip-Hop version. Background music,https://pixabay.com/music/beats-winter-legacy-the-four-seasons-hip-hop-version-background-music-201042/,White_Records,https://pixabay.com/users/white_records-32584949/,1:34,Beats Electronic Adventure Main Title Epic Classical Build Up Scenes,Restless Bright Laid Back Uplifting Hopeful Energetic Epic,Chasing Elegant Medium,Music For Videos Music For Youtube Videos Film Music Cinematic Music,"background
epic music",background epic music background music dramatic music orchestral music cinematic music antonio vivaldi romantic music music for video instrumental music winter legacy the four seasons music for vlog dramatic background music relax background music vlog music cinematic background music motivational music epic powerful music dramatic music for vlog dramatic music for intro power of nature dramatic music background
Battlefield Elegy,https://pixabay.com/music/modern-classical-battlefield-elegy-201530/,Neura-Flow,https://pixabay.com/users/neura-flow-43255620/,2:00,Modern Classical Main Title Build Up Scenes Solo Piano Drama Scene,Dreamy Restless Suspense Hopeful Sentimental,Chasing Medium Elegant,Music For Videos Film Music Cinematic Music Music For Youtube Videos Background Music,"documentary
war
sad",documentary war sad piano classical emotional poignant dramatic orchestral somber cinematic melancholic reflective powerful intense haunting moving sorrowful tragic deep solemn melancholy nostalgic
Epic Emotional_Long,https://pixabay.com/music/main-title-epic-emotional-long-197089/,Grand_Project,https://pixabay.com/users/grand_project-19033897/,4:20,Main Title Adventure Build Up Scenes Epic Classical,Dreamy Bright Hopeful Uplifting Suspense Energetic Epic Restless,Chasing Running Heavy & Ponderous Marching Fast,Film Music Cinematic Music Music For Videos,epic background music,epic background music inspirational background music motivational background music cinematic background music epic inspirational motivational cinematic music epic motivational music epic powerful music epic music for vlog epic music for intro power of epic music power of nature epic music background best epic music
Loves Serenade,https://pixabay.com/music/modern-classical-loves-serenade-188266/,Top-Flow,https://pixabay.com/users/top-flow-28521292/,3:13,Modern Classical Beautiful Plays Main Title Build Up Scenes Adventure Wedding Chamber Music,Dreamy Bright Hopeful Relaxing Sentimental Romantic Restless Uplifting Epic,Elegant Floating Medium Medium Fast Chasing Marching,Film Music Cinematic Music Music For Videos Music For Youtube Videos,"romantic
cinematic
love",romantic cinematic love wedding piano emotional beautiful sentimental elegant touching heartwarming dreamy tender intimate graceful passionate melodic nostalgic enchanting soft gentle peaceful valentine's day
Beautiful Piano Music - felt piano [Now We Are Free],https://pixabay.com/music/modern-classical-beautiful-piano-music-felt-piano-now-we-are-free-219961/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,4:09,Modern Classical Solo Piano Nostalgia Small Emotions,Dreamy Bright Hopeful Relaxing Sentimental Romantic,Elegant Floating Slow,Film Music Music For Videos,"piano
sad
piano music",piano sad piano music sad music sad piano inspiring ambient mood emotional cry crying sad piano music piano song calm soft felt piano music instrumental thinking evening sleep cinematic stars video nature
Epic Hollywood Trailer,https://pixabay.com/music/main-title-epic-hollywood-trailer-9489/,Good_B_Music,https://pixabay.com/users/good_b_music-22836301/,2:01,Main Title Build Up Scenes Epic Classical Adventure,Epic Suspense Energetic Hopeful Bright Restless,Marching Heavy & Ponderous Medium Fast Chasing,Cinematic Music Film Music Music For Videos,"battle
buildup
choir",battle buildup choir cinematic cinematic trailer climax courage deep digital energetic epic epic cinematic guitar heroic hits hybrid intense intro music orchestral risers scary suspension trailer trailer intro
Beautiful Things - piano,https://pixabay.com/music/modern-classical-beautiful-things-piano-222056/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,3:14,Modern Classical Solo Piano,Dreamy Bright Hopeful Romantic Uplifting,Elegant Medium,Music For Videos Film Music,"piano
relaxing",piano relaxing beautiful piano music piano calm calm soft epic
inner peace,https://pixabay.com/music/modern-classical-inner-peace-222482/,GodsFavoriteArts,https://pixabay.com/users/godsfavoritearts-44026726/,4:00,Modern Classical Solo Piano Small Emotions Beautiful Plays,Dreamy Bright Hopeful Relaxing Peaceful Romantic,Elegant Floating Slow,Film Music Music For Videos,piano meditation,piano meditation relaxing piano meditation music calm piano soothing music piano relaxation peaceful piano mindfulness meditation sounds piano tranquility ambient piano piano therapy piano wellness meditative piano piano calm stress relief piano focus serenity music gentle piano zen piano relaxation piano mindfulness meditation tunes piano chill piano ambiance ai generated
Moonlight Echoes,https://pixabay.com/music/modern-classical-moonlight-echoes-212720/,Neura-Flow,https://pixabay.com/users/neura-flow-43255620/,1:48,Modern Classical Solo Piano Nostalgia,Dreamy Hopeful Bright Sentimental Romantic Relaxing,Elegant Medium Floating,Film Music Cinematic Music Music For Videos,"atmospheric
relaxing",atmospheric relaxing soft emotional dreamy mellow soothing background serene calm reflective beautiful tranquil elegant tender delicate ethereal light minimalist
Epicaly,https://pixabay.com/music/main-title-epicaly-113907/,LiteSaturation,https://pixabay.com/users/litesaturation-17654080/,2:03,Main Title Build Up Scenes Adventure Epic Classical Beautiful Plays,Epic Restless Bright Hopeful Dreamy Uplifting Suspense Energetic,Chasing Elegant Marching Medium Fast Running,Music For Videos Film Music Cinematic Music Music For Youtube Videos Background Music,"trailer
intro
adventure",trailer intro adventure cinematic dramatic emotional action background block buster inspiring credits hollywood inspirational motivational advertising bright inspiration motivate epicness contemporary sound track tv promo epic big
Sad Waltz  - Mia and Sebastian’s Theme [Piano],https://pixabay.com/music/modern-classical-sad-waltz-mia-and-sebastians-theme-piano-225723/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,3:00,Modern Classical Main Title Solo Piano,Dreamy Bright Hopeful Sentimental Romantic,Elegant Medium,Film Music Cinematic Music Music For Videos,"piano
calm
sad",piano calm sad sad piano sad music inspiring emotional instrumental inspiring piano background sleep heartbreak night evening sad music piano emotional piano peaceful cinematic dance sad piano music keyboard melody classic harmony classical
Solas x Interstellar,https://pixabay.com/music/solo-piano-solas-x-interstellar-225036/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,3:05,Solo Piano Ambient Modern Classical Main Title Beautiful Plays Build Up Scenes,Dreamy Bright Hopeful Uplifting Suspense Restless,Elegant Medium Chasing Running,Music For Videos Film Music,piano stars night calm,piano stars night calm soft relaxing sad think space night music evening background cinematic emotional
morning in the mountains,https://pixabay.com/music/modern-classical-morning-in-the-mountains-201840/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,2:52,Modern Classical Main Title Beautiful Plays Solo Piano Nostalgia,Dreamy Hopeful Sentimental Bright Relaxing,Elegant Medium Floating,Film Music Cinematic Music Music For Videos,"piano
forest
morning",piano forest morning piano music calm relax relaxing relaxing piano soft piano calm piano morning piano love beautiful calming meditation nature tree sea peaceful alone beach
Solas x Interstellar (Piano),https://pixabay.com/music/modern-classical-solas-x-interstellar-piano-223676/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,3:05,Modern Classical Solo Piano Build Up Scenes Beautiful Plays Main Title,Restless Bright Hopeful Suspense Dreamy Sentimental Romantic,Chasing Elegant Medium,Film Music Cinematic Music Music For Videos,"piano
relaxing",piano relaxing relaxing piano calm piano soft piano sleep ambient background instrumental sad think read night moon for video cinematic emotional beautiful beautiful piano beautiful music calm music calm instrumental sleeping evening
Afterglow - Atmospheric Cinematic Piano,https://pixabay.com/music/modern-classical-afterglow-atmospheric-cinematic-piano-225035/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,2:27,Modern Classical Main Title Solo Piano Beautiful Plays,Dreamy Bright Relaxing Peaceful Uplifting,Elegant Medium,Music For Videos Background Music Film Music,"piano
calm
cinematic",piano calm cinematic evening sleeping relax relaxing calm piano inspiring soft morning vlog video background beautiful instrumental cinema ambient calm piano music morning music night evening music sunset
Loneliness_Long,https://pixabay.com/music/modern-classical-loneliness-long-202383/,Grand_Project,https://pixabay.com/users/grand_project-19033897/,4:16,Modern Classical Nostalgia Main Title Beautiful Plays Chamber Music Drama Scene,Dreamy Bright Hopeful Sentimental Sad,Elegant Floating Slow Medium,Music For Videos Film Music Cinematic Music,"cinematic
loneliness",cinematic loneliness emotional flashback contemplative cello orchestra vlog youtube intro reflective melancholic introspective dramatic haunting atmospheric introspection evocative poignant solitude nostalgic
Da Vinci_Long,https://pixabay.com/music/beats-da-vinci-long-202372/,Grand_Project,https://pixabay.com/users/grand_project-19033897/,3:08,Beats Electronic Alternative Hip Hop Main Title Epic Classical Adventure Build Up Scenes,Restless Suspense Energetic Epic Hopeful Laid Back,Chasing Running Heavy & Ponderous Medium,Music For Videos Music For Youtube Videos Film Music Cinematic Music,"hip hop
da vinci",hip hop da vinci orchestra europe beat vlog intro youtube urban cinematic instrumental rap culture street city art renaissance contemporary fusion european vibes mystery riddle tension
Let the Mystery Unfold,https://pixabay.com/music/fantasy-dreamy-childrens-let-the-mystery-unfold-122118/,geoffharvey,https://pixabay.com/users/geoffharvey-9096471/,2:05,Fantasy & Dreamy Childrens Mystery Main Title Beautiful Plays Modern Classical Scary Childrens Tunes,Dreamy Bright Mysterious Glamorous Suspense Hopeful,Sneaking Elegant Floating Medium,Film Music Cinematic Music,"mystery
suspense
creepy",mystery suspense creepy dark magic fantasy halloween spooky scary ghost horror fear
Warrior_Medium,https://pixabay.com/music/main-title-warrior-medium-192841/,Grand_Project,https://pixabay.com/users/grand_project-19033897/,1:58,Main Title Build Up Scenes Epic Classical Chase Scene Adventure Action,Restless Bright Energetic Suspense Epic Hopeful Relaxing,Chasing Running Heavy & Ponderous Marching Medium,Film Music Cinematic Music Music For Videos,trailer music,trailer music epic soundtrack cinematic composition heroic theme intense orchestration dramatic score powerful drums hybrid orchestral cinematic trailer action movie music epic adventure fantasy soundtrack dramatic trailer intense music epic battle orchestral arrangement film score war drums hybrid cinematic emotional journey trailer vlog epic intro
Epic Action,https://pixabay.com/music/main-title-epic-action-113888/,Magnetic_Trailer,https://pixabay.com/users/magnetic_trailer-27466606/,2:03,Main Title Build Up Scenes Adventure Epic Classical Action Chase Scene,Energetic Restless Epic Suspense Mysterious Hopeful,Chasing Running Heavy & Ponderous Marching Medium Very Fast Busy & Frantic,Film Music Cinematic Music,royalty free music,royalty free music background music cinematic music epic music dramatic music trailer music cinematic trailer emotional cinematic music background music for videos background music for trailer epic background music cinematic background music drama music dark music orchestral music dramatic background music emotional background music background music for documentaries epic music for videos dark trailer tragic music emotional music action epic
Thinking Of Good Time - Soft Piano Music,https://pixabay.com/music/modern-classical-thinking-of-good-time-soft-piano-music-201837/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,2:31,Modern Classical Solo Piano Small Emotions Nostalgia,Dreamy Hopeful Bright Sentimental Romantic Relaxing,Elegant Floating Medium,Film Music Cinematic Music Music For Videos,piano music soft calm,piano music soft calm relaxing sleep soft piano sleeping piano calm piano calm music relaxing music piano song beautiful beautiful piano pianist keyboard instrumental soft instrumental calm instrumental
Cinematic Dramatic,https://pixabay.com/music/main-title-cinematic-dramatic-11120/,AleXZavesa,https://pixabay.com/users/alexzavesa-24262182/,1:31,Main Title Beautiful Plays Epic Classical Build Up Scenes,Epic Hopeful Bright Sentimental Suspense,Marching Chasing Floating Medium Fast,Cinematic Music Film Music,"beautiful
cinematic",beautiful cinematic contemplative cymbal roll dark drama dramatic emotional faith hope hopeful inspirational inspire inspired inspiring love motivational nostalgic orchestra piano sad sadness sentimental strings suspenseful
Inspiring Emotional Uplifting Piano,https://pixabay.com/music/modern-classical-inspiring-emotional-uplifting-piano-112623/,Music_For_Videos,https://pixabay.com/users/music_for_videos-26992513/,2:38,Modern Classical Main Title Beautiful Plays Solo Piano Solo Instruments Small Emotions Nostalgia,Sentimental Dreamy Bright Hopeful Suspense Romantic Relaxing,Floating Elegant,Cinematic Music Film Music Background Music Music For Videos,"beautiful
cinematic",beautiful cinematic classic classical dream dreaming film hopeful inspiration inspirational inspiring inspiring piano love love story merry movie nostalgia optimistic piano romantic sentimental slides slideshow soft story
Remember (Emotional Piano) INSTRUMENTAL,https://pixabay.com/music/build-up-scenes-remember-emotional-piano-instrumental-227308/,SoundUniverseStudio,https://pixabay.com/users/sounduniversestudio-43016639/,2:04,Build Up Scenes Small Emotions Pulses Modern Classical,Dreamy Hopeful Bright Suspense,Elegant Medium Floating,Film Music Background Music Music For Videos,"piano
edm
instrumental",piano edm instrumental emotional emotional music emotional piano background music ai generated
Live To Love,https://pixabay.com/music/main-title-live-to-love-225755/,SergePavkinMusic,https://pixabay.com/users/sergepavkinmusic-6130722/,4:26,Main Title Adventure Build Up Scenes Epic Classical Modern Classical Beautiful Plays,Bright Hopeful Suspense Dreamy Epic Romantic Uplifting,Chasing Elegant Floating Slow,Music For Videos Film Music Cinematic Music,"inspirational
orchestral",inspirational orchestral cinematic emotional beautiful lyrical tender love dreamy choir landscape nature strings underscore classical documentary cinematic music background music music uplifting epic motivational
Award - Adventure Epic Inspiring Cinematic Orchestra,https://pixabay.com/music/main-title-award-adventure-epic-inspiring-cinematic-orchestra-214102/,SoundGalleryByDmitryTaras,https://pixabay.com/users/soundgallerybydmitrytaras-11640913/,2:30,Main Title Adventure Build Up Scenes Epic Classical,Restless Bright Suspense Energetic Hopeful Uplifting Epic,Chasing Running Heavy & Ponderous Marching Medium Fast,Film Music Cinematic Music Music For Videos,"award
adventure
epic",award adventure epic inspiring cinematic orchestra advertising champion corporate inspirational
Peaceful Piano Background Music,https://pixabay.com/music/modern-classical-peaceful-piano-background-music-218762/,nickpanek620,https://pixabay.com/users/nickpanek620-38266323/,3:27,Modern Classical Solo Piano Beautiful Plays Main Title,Dreamy Bright Hopeful Romantic Relaxing Peaceful,Elegant Medium Floating,Film Music Background Music Music For Videos Cinematic Music,background,background background music peaceful piano music piano music instrument keyboard classic ai generated
Cinematic Fairy Tale Story (Main),https://pixabay.com/music/main-title-cinematic-fairy-tale-story-main-8697/,Good_B_Music,https://pixabay.com/users/good_b_music-22836301/,2:07,Main Title Beautiful Plays Modern Classical,Uplifting Peaceful Bright Relaxing Hopeful Dreamy,Smooth Floating Medium Elegant,Music For Youtube Videos Film Music Cinematic Music,"airy
background",airy background beautiful piano calm christmas piano cinematic piano cozy dreamlike dreamy engagement fairy festive holiday inspiring love love story melodic nature piano relaxing romantic sentimental slideshow snow soft
Relaxing Piano,https://pixabay.com/music/modern-classical-relaxing-piano-201831/,CalvinClavier,https://pixabay.com/users/calvinclavier-16027823/,2:11,Modern Classical Solo Piano Nostalgia Small Emotions Beautiful Plays,Dreamy Bright Hopeful Sentimental Relaxing Romantic,Elegant Floating Medium,Music For Videos Film Music Cinematic Music Background Music,piano relax calm soft,piano relax calm soft piano music calm piano soft piano calm music soft music relaxing relax music relaxing music beautiful piano piano song
The Epic Trailer,https://pixabay.com/music/main-title-the-epic-trailer-12955/,Alex_MakeMusic,https://pixabay.com/users/alex_makemusic-24186663/,1:32,Main Title Build Up Scenes Epic Classical Adventure,Epic Suspense Bright Hopeful Energetic Restless Uplifting,Heavy & Ponderous Running Medium Chasing Marching,Music For Videos Film Music Cinematic Music,"trailer
music for videos",trailer music for videos music for youtube videos vlog music background music podcast music film music advertising beautiful building cinematic dramatic emotional epic inspirational inspiring intense intro motivational movie rising horror warrior war army
Emotional Inspiring Epic Trailer,https://pixabay.com/music/main-title-emotional-inspiring-epic-trailer-11258/,Coma-Media,https://pixabay.com/users/coma-media-24399569/,2:09,Main Title Beautiful Plays Epic Classical Build Up Scenes,Epic Hopeful Bright Suspense Restless Uplifting,Marching Chasing Running Medium Fast Elegant,Film Music Cinematic Music Music For Videos,"action
adventure
brave",action adventure brave cinematic dramatic ending epic epic trailer game hero heroic hollywood inspirational inspiring military motivational orchestra patriotic score sport trailer triumphant victory video video game
Battle Of The Dragons,https://pixabay.com/music/main-title-battle-of-the-dragons-8037/,,,3:57,Main Title Beautiful Plays Epic Classical Build Up Scenes,Epic Suspense Bright Hopeful Restless,Marching Medium Running Chasing Heavy & Ponderous,Cinematic Music Film Music Music For Videos,no copy right music,no copy right music rpg music soundtrack background music relaxing music listening music for videos
Honor and Sword (Main),https://pixabay.com/music/honor-and-sword-main-11222/,Good_B_Music,https://pixabay.com/users/good_b_music-22836301/,4:01,Main Title Epic Classical Build Up Scenes Adventure,Epic Bright Suspense Hopeful Restless,Marching Chasing Running Medium Fast Elegant,Film Music Cinematic Music Music For Videos,"drama
orchestra
strings",drama orchestra strings epic soundtrack trailer broadcast cinematic
Cute Creatures,https://pixabay.com/music/cartoons-cute-creatures-150622/,geoffharvey,https://pixabay.com/users/geoffharvey-9096471/,1:40,Cartoons Comedy Modern Classical Main Title Sneaky Fantasy & Dreamy Childrens,Quirky Bright Dreamy Suspense Funny Uplifting Happy Euphoric,Sneaking Elegant Medium Chasing Medium Fast,Film Music Cinematic Music Music For Videos,"animal
animation",animal animation background cartoon cat cheerful children chimes simple cute easter easy happy instrumental instruments kids music natural oboe piccolo flute playful positive quirky simplistic snare
Meeting the Stars. Dramatic cinematic background music for epic video,https://pixabay.com/music/beats-meeting-the-stars-dramatic-cinematic-background-music-for-epic-video-197578/,White_Records,https://pixabay.com/users/white_records-32584949/,3:02,Beats Electronic Adventure Corporate Epic Classical Build Up Scenes Alternative Hip Hop,Restless Bright Dreamy Laid Back Hopeful Uplifting Epic Suspense,Chasing Medium Elegant Running,Music For Videos Music For Youtube Videos Vlog Music Background Music Film Music Cinematic Music,"cinematic
epic
beat",cinematic epic beat
For When It Rains,https://pixabay.com/music/modern-classical-for-when-it-rains-112785/,Juan_Sanchez_Music,https://pixabay.com/users/juan_sanchez_music-8771929/,5:12,Modern Classical Nostalgia Small Emotions Beautiful Plays Main Title Solo Piano Small Drama Vocal,Sentimental Sad Dreamy Bright Relaxing Hopeful,Floating Elegant Medium,Film Music Music For Videos Cinematic Music,emotional piano,emotional piano relaxing piano emotional sad depression pain sadness ethereal fantasy angelic angel
Loneliness_Outro,https://pixabay.com/music/modern-classical-loneliness-outro-202380/,Grand_Project,https://pixabay.com/users/grand_project-19033897/,0:27,Modern Classical Nostalgia Main Title Drama Scene Intro/Outro Solo Piano,Dreamy Sentimental Suspense Sad Hopeful,Floating Elegant Slow Medium,Music For Videos Film Music Cinematic Music,"cinematic
loneliness",cinematic loneliness emotional flashback contemplative cello orchestra vlog youtube intro reflective melancholic introspective dramatic haunting atmospheric introspection evocative poignant solitude nostalgic
